Bill.com Entity,Bill.com Object ID,Bill.com Line ID,NetSuite Record ID,NetSuite Sublist ID,NetSuite Line ID
Bill,00n02ADIKECAAZZr2jm1,bli02DTLRPVQFJ1hm04j,5653033,expense,1
Bill,00n02MAZPGLWRMCr2jps,bli02GLVIEWTAV1hm0je,5653034,expense,1
Bill,00n02ABIYXXAZCVr2jvu,bli02LFYPKJISY1hm1cp,5653035,expense,1
Bill,00n02HGSAQFIOVNr2k0m,bli02WFKGJEJUU1hm1mo,5653036,expense,1
Bill,00n02XWVGCSZUSLr5h2q,bli02AKGSWVFAP1hryyl,5661535,expense,1
Bill,00n02FZURSBQNVTr5h92,bli02ZPKBLLOIK1hrzt3,5661536,expense,1
Bill,00n02YMLWVLRDBOr5haz,bli02RGJZFIMTD1hs02e,5661537,expense,1
Bill,00n02GQKTBWWDXQr5hxg,bli02QSQXQAVWS1hs2ka,5661636,expense,1
Bill,00n02JCZLXZQLSWr846g,bli02OQMXILVMC1hyfbi,5674907,expense,1
Bill,00n02WGQYHUTUTPr846k,bli02FTGZTRBGM1hyfbp,5674908,expense,1
Bill,00n02LSDKWBEUFKr846l,bli02ELIKNHHYU1hyfbq,5674909,expense,1
Bill,00n02ZNLCVDJQSEr8hbm,bli02WZLZSIGYX1hz85q,5680310,expense,1
Bill,00n02ZNLCVDJQSEr8hbm,bli02WCKRHCMVY1hz85r,5680310,expense,2
Bill,00n02LEBYXEMKUHr8hhf,bli02HVYAUSISJ1hz8g2,5680311,expense,1
Bill,00n02OGEVXBJBRJr8hjp,bli02OVTWHMPRA1hz8jf,5680312,expense,1
Bill,00n02GZVZKIJDNQr8hkk,bli02IYGYJDFNA1hz8kl,5680313,expense,1
Bill,00n02KJMKIVWHSYr8hn5,bli02EXXNRKIFO1hz8p4,5680314,expense,1
Bill,00n02QBPRJFEMZRr8hs8,bli02VIHAVOGMJ1hz981,5680610,expense,1
Bill,00n02SQSRWZFWDKr8huk,bli02STWYUAEFS1hz9ap,5680611,expense,1
Bill,00n02QUPJSPSAOTr8hv1,bli02KTKHXLEVZ1hz9bf,5680612,expense,1
Bill,00n02DZPMJRRMBEr8hwk,bli02GWBNVDFZV1hz9dz,5680613,expense,1
Bill,00n02CEOQYBAOYZr8i35,bli02KMCFXWKWQ1hz9qb,5680614,expense,1
Bill,00n02SFEQLNRWIFr8i99,bli02YBDWEKWCP1hza52,5680615,expense,1
Bill,00n02XJFCEBHZQYr8i9v,bli02SWYWKWDTB1hza7l,5680616,expense,1
Bill,00n02XHPODEETYIr8ibn,bli02UZVJQAIAS1hza9n,5680617,expense,1
Bill,00n02WQLDTPEIYZr8i0f,bli02DLYRWBXEP1hz9kr,5680618,expense,1
Bill,00n02GZTMTXNQYSr9kc1,bli02UDAMWVRXB1i11c1,5692916,expense,1
Bill,00n02TCCCCXTWNJr9l23,bli02FYNKEXBVI1i12k3,5692917,expense,1
Bill,00n02DDOCAXGDLJrb8bd,bli02LWBSCSBAG1i4bdi,5692918,expense,1
Bill,00n02CMHAWTSZNErb8iv,bli02YVHAROEXH1i4bsg,5692919,expense,1
Bill,00n02FZRTYCCCJKrb8d9,bli02BFXAWJQKA1i4biy,5693016,expense,1
Bill,00n02BDCEDZWYDIre48g,bli02ZOVPYWNPB1iamkf,5698735,expense,1
Bill,00n02CFKANFZPOKre4jb,bli02RCIZWUXGF1iand8,5698736,expense,1
Bill,00n02BXZOKSSKJIre4m7,bli02AKHPCZFRN1ianig,5698737,expense,1
Bill,00n02CWYGYDQBGAre4qy,bli02QFUTECZWI1iansz,5698738,expense,1
Bill,00n02AGBLWGNGATre4v1,bli02TBZVCGWKW1iao2n,5698739,expense,1
Bill,00n02OERFFTXLGFre4w0,bli02VNAPOGGYB1iaoad,5698740,expense,1
Bill,00n02KEBQBVNHLFre56q,bli02MERKGGQBV1iap45,5698741,expense,1
Bill,00n02WIRKQTIELPre2u8,bli02YDNDQKUNW1iaho6,5702124,expense,1
Bill,00n02COPMZCBQTRlqu8x,bli02NNZTIFKPM16osec,5705555,expense,1
Bill,00n02NWUHJHNTEFrgz5j,bli02LQVPTJJCQ1igru4,5705655,expense,1
Bill,00n02YAQLOCPLSJrgz71,bli02UMKUXVGQG1igrw0,5705558,expense,1
